denominazione (link a Wikipedia)	prov.	cap	pref. tel.	pop. 2001	pop. 1991	var. %	altit.	km2	pop. 2007
Albinea	RE	42020	522	7750	6764	14,60%	166	44	8.350
Bagnolo in Piano	RE	42011	522	8103	7381	9,80%	32	26,7	9.192
Baiso	RE	42031	522	3261	3213	1,50%	542	75,3	3.373
Bibbiano	RE	42021	522	7725	7239	6,70%	121	28	9.355
Boretto	RE	42022	522	4636	4324	7,20%	23	19,2	5.054
Brescello	RE	42041	522	4817	4558	5,70%	24	24,5	5.352
Busana	RE	42032	522	1352	1405	-3,80%	855	30,4	1.293
Cadelbosco di Sopra	RE	42023	522	7867	6861	14,70%	33	44,2	10.397
Campagnola Emilia	RE	42012	522	4900	4445	10,20%	22	24,7	5.379
Campegine	RE	42040	522	4551	4077	11,60%	34	22,2	4.885
Canossa	RE	42026	522	3377	3329	1,40%	219	53,4	3.677
Carpineti	RE	42033	522	4111	4026	2,10%	562	89,5	4.216
Casalgrande	RE	42013	522	14226	13269	7,20%	97	37,7	17.970
Casina	RE	42034	522	4392	4055	8,30%	574	63,8	4.457
Castellarano	RE	42014	536	11774	8894	32,40%	149	57,5	14.554
Castelnovo di Sotto	RE	42024	522	7810	7154	9,20%	27	34,6	8.602
Castelnovo ne' Monti	RE	42035	522	10046	9635	4,30%	700	96,5	10.537
Cavriago	RE	42025	522	8968	8369	7,20%	78	17	9.536
Collagna	RE	42037	522	1005	1112	-9,60%	830	66,9	996
Correggio	RE	42015	522	20604	20113	2,40%	31	77,8	23.735
Fabbrico	RE	42042	522	5517	5224	5,60%	25	23	6.402
Gattatico	RE	42043	522	5389	4835	11,50%	40	42,4	5.667
Gualtieri	RE	42044	522	6229	6041	3,10%	22	36,1	6.632
Guastalla	RE	42016	522	13886	13354	4%	25	52,6	14.761
Ligonchio	RE	42039	522	1005	1195	-15,90%	949	61,6	940
Luzzara	RE	42045	522	8517	7949	7,10%	22	39,2	8.957
Montecchio Emilia	RE	42027	522	8742	8043	8,70%	99	24,7	10.021
Novellara	RE	42017	522	11912	11235	6%	24	58,2	13.384
Poviglio	RE	42028	522	6522	6347	2,80%	29	43,7	7.087
Quattro Castella	RE	42020	522	11204	9515	17,80%	161	46,1	12.662
Ramiseto	RE	42030	522	1468	1570	-6,50%	781	98,2	1.372
Reggio nell'Emilia	RE	42100	522	141877	132030	7,50%	58	231,6	162.290
Reggiolo	RE	42046	522	8559	8030	6,60%	20	43	9.143
Rio Saliceto	RE	42010	522	5258	4349	20,90%	24	22,6	5.785
Rolo	RE	42047	522	3631	3360	8,10%	21	14	3.984
Rubiera	RE	42048	522	11458	9654	18,70%	53	25,3	14.088
San Martino in Rio	RE	42018	522	6484	5410	19,90%	36	22,7	7.528
San Polo d'Enza	RE	42020	522	5221	4751	9,90%	166	32,6	5.617
Sant'Ilario d'Enza	RE	42049	522	9702	9237	5%	59	20,2	10.605
Scandiano	RE	42019	522	22839	21908	4,20%	95	49,8	24.153
Toano	RE	42010	522	4264	3962	7,60%	842	67,4	4.450
Vetto	RE	42020	522	1972	2107	-6,40%	447	53,3	2.005
Vezzano sul Crostolo	RE	42030	522	3797	3369	12,70%	162	37,6	4.227
Viano	RE	42030	522	3017	2670	13%	275	45,2	3.411
Villa Minozzo	RE	42030	522	4147	4063	2,10%	680	167,9	4.043
